model,dataset,prompt,base_acc,base_pos_bias,base_verb_corr,acc,pos_bias,verb_corr,d_acc,d_pos_bias,d_verb_corr
Qwen,mtbench,ROLE,0.558,0.592,0.0495,0.3381,0.714,0.029,-0.2199,0.122,-0.0205
Qwen,mtbench,POSITION_NEUTRAL,0.558,0.592,0.0495,0.1392,0.528,-0.1468,-0.4188,-0.064,-0.1963
Qwen,mtbench,COT,0.558,0.592,0.0495,0.1028,1.0,-0.0584,-0.4552,0.408,-0.1079
Qwen,mtbench,RUBRIC,0.558,0.592,0.0495,0.1727,0.626,-0.1215,-0.3853,0.034,-0.171
Qwen,mtbench,SELF_REFINE,0.558,0.592,0.0495,0.2306,0.804,-0.0299,-0.3274,0.212,-0.0794
Qwen,llmbar,ROLE,0.4771,0.5585,0.0922,0.494,0.673,0.0498,0.0169,0.1145,-0.0424
Qwen,llmbar,POSITION_NEUTRAL,0.4771,0.5585,0.0922,0.4981,0.7303,-0.0274,0.021,0.1718,-0.1196
Qwen,llmbar,COT,0.4771,0.5585,0.0922,0.4928,0.9976,-0.0757,0.0157,0.4391,-0.1679
Qwen,llmbar,RUBRIC,0.4771,0.5585,0.0922,0.5286,0.8019,-0.0959,0.0515,0.2434,-0.1881
Qwen,llmbar,SELF_REFINE,0.4771,0.5585,0.0922,0.4555,0.8305,0.0759,-0.0216,0.272,-0.0163
