model,dataset,prompt,statistic,pvalue,n,table
Qwen,mtbench,ROLE,20.49673202614379,5.9733149325109205e-06,489,"[[95, 105], [48, 241]]"
Qwen,mtbench,POSITION_NEUTRAL,51.0188679245283,9.148237214324991e-13,119,"[[2, 53], [0, 64]]"
Qwen,mtbench,COT,202.0049019607843,7.626548681669503e-46,488,"[[0, 204], [0, 284]]"
Qwen,mtbench,RUBRIC,61.03846153846154,5.5970596222048965e-15,194,"[[5, 74], [4, 111]]"
Qwen,mtbench,SELF_REFINE,64.5632911392405,9.34808271953698e-16,388,"[[36, 130], [28, 194]]"
Qwen,llmbar,ROLE,13.796407185628743,0.00020372544689254535,413,"[[77, 108], [59, 169]]"
Qwen,llmbar,POSITION_NEUTRAL,66.96428571428571,2.764706655855761e-16,192,"[[10, 80], [4, 98]]"
Qwen,llmbar,COT,183.0054054054054,1.0696647723169007e-41,405,"[[0, 185], [0, 220]]"
Qwen,llmbar,RUBRIC,72.77884615384616,1.4502297862579362e-17,245,"[[9, 96], [8, 132]]"
Qwen,llmbar,SELF_REFINE,84.61538461538461,3.624340489563647e-20,344,"[[27, 127], [16, 174]]"
TinyLlama,mtbench,ROLE,0.0,1.0,0,"[[0, 0], [0, 0]]"
TinyLlama,mtbench,POSITION_NEUTRAL,0.0,1.0,0,"[[0, 0], [0, 0]]"
TinyLlama,mtbench,COT,0.0,1.0,0,"[[0, 0], [0, 0]]"
TinyLlama,mtbench,RUBRIC,inf,0.0,1,"[[0, 0], [0, 1]]"
TinyLlama,mtbench,SELF_REFINE,inf,0.0,14,"[[0, 0], [0, 14]]"
TinyLlama,llmbar,ROLE,0.0,1.0,0,"[[0, 0], [0, 0]]"
TinyLlama,llmbar,POSITION_NEUTRAL,0.0,1.0,0,"[[0, 0], [0, 0]]"
TinyLlama,llmbar,COT,inf,0.0,1,"[[0, 0], [0, 1]]"
TinyLlama,llmbar,RUBRIC,0.0,1.0,0,"[[0, 0], [0, 0]]"
TinyLlama,llmbar,SELF_REFINE,inf,0.0,3,"[[0, 0], [0, 3]]"
Mistral,mtbench,ROLE,7.2592592592592595,0.007053637888068591,261,"[[8, 21], [6, 226]]"
Mistral,mtbench,POSITION_NEUTRAL,13.793103448275861,0.00020408400998040742,295,"[[2, 25], [4, 264]]"
Mistral,mtbench,COT,42.29126213592233,7.864314098144777e-11,338,"[[17, 18], [85, 218]]"
Mistral,mtbench,RUBRIC,19.93846153846154,7.997514362767593e-06,270,"[[16, 14], [51, 189]]"
Mistral,mtbench,SELF_REFINE,25.714285714285715,3.95885676595604e-07,337,"[[0, 33], [2, 302]]"
Mistral,llmbar,ROLE,0.041666666666666664,0.8382564863858263,288,"[[4, 13], [11, 260]]"
Mistral,llmbar,POSITION_NEUTRAL,0.7619047619047619,0.38273308888522595,328,"[[2, 13], [8, 305]]"
Mistral,llmbar,COT,7.22,0.007209570764742524,362,"[[2, 15], [35, 310]]"
Mistral,llmbar,RUBRIC,9.75609756097561,0.0017872890369872703,312,"[[4, 10], [31, 267]]"
Mistral,llmbar,SELF_REFINE,1.0416666666666667,0.30743416592739237,333,"[[0, 15], [9, 309]]"
