model,dataset,prompt,acc_ci_lower,acc_ci_upper,pos_ci_lower,pos_ci_upper
Qwen,mtbench,BASELINE,0.516,0.6,0.545958870967742,0.6320132530120481
Qwen,mtbench,ROLE,0.29550483351235235,0.3775358519096629,0.6706909214343023,0.7510121457489879
Qwen,mtbench,POSITION_NEUTRAL,0.09550491220145672,0.1887858521787093,0.959349593495935,1.0
Qwen,mtbench,COT,0.07661290322580645,0.12878564315184032,1.0,1.0
Qwen,mtbench,RUBRIC,0.12996041547913104,0.21485960689931805,0.9226804123711341,0.979381443298969
Qwen,mtbench,SELF_REFINE,0.19168218314242066,0.27083820093457944,0.7989166402171785,0.8713910761154856
Qwen,llmbar,BASELINE,0.4302800422705314,0.5240384615384616,0.5024154589371981,0.602906459193847
Qwen,llmbar,ROLE,0.44624105011933174,0.5417661097852029,0.6252908711217183,0.7170433031565178
Qwen,llmbar,POSITION_NEUTRAL,0.4365079365079365,0.5569258579753938,0.8826530612244898,0.9567359449760766
Qwen,llmbar,COT,0.44443770226537216,0.5419664268585132,1.0,1.0
Qwen,llmbar,RUBRIC,0.4738519091847265,0.5845137433598129,0.9003884462151395,0.96124363708953
Qwen,llmbar,SELF_REFINE,0.40486387268763996,0.5067778673654505,0.8365453976815785,0.9114304677623262
TinyLlama,mtbench,BASELINE,0.0136986301369863,0.12280701754385964,1.0,1.0
TinyLlama,mtbench,ROLE,0.06663934426229508,0.2641877948113207,1.0,1.0
TinyLlama,mtbench,POSITION_NEUTRAL,0.0,0.0,0.0,0.0
TinyLlama,mtbench,COT,0.04613636363636364,0.2200555555555555,1.0,1.0
TinyLlama,mtbench,RUBRIC,0.030280748663101608,0.3,1.0,1.0
TinyLlama,mtbench,SELF_REFINE,0.05177575947384905,0.11187307713822228,1.0,1.0
TinyLlama,llmbar,BASELINE,0.23076923076923078,0.7504807692307688,1.0,1.0
TinyLlama,llmbar,ROLE,0.36363636363636365,0.9166666666666666,1.0,1.0
TinyLlama,llmbar,POSITION_NEUTRAL,0.0,1.0,1.0,1.0
TinyLlama,llmbar,COT,0.29411764705882354,0.8181818181818182,1.0,1.0
TinyLlama,llmbar,RUBRIC,0.3333333333333333,1.0,0.0,1.0
TinyLlama,llmbar,SELF_REFINE,0.4493971877673225,0.5580878624138775,0.9836052092320966,1.0
Mistral,mtbench,BASELINE,0.16801108234546033,0.2535735735735736,0.8679775280898876,0.9310368576042557
Mistral,mtbench,ROLE,0.1223166502839668,0.20235881860075405,0.9096911495708456,0.9650813008130081
Mistral,mtbench,POSITION_NEUTRAL,0.0916197663971249,0.15584590141041754,0.9595375722543352,0.9913793103448276
Mistral,mtbench,COT,0.33898203226857887,0.42788461538461536,0.6286338037363212,0.717417686787674
Mistral,mtbench,RUBRIC,0.29092524664811537,0.38873630672926446,0.6906212797619048,0.7848534409515717
Mistral,mtbench,SELF_REFINE,0.0891566265060241,0.14903846153846154,0.96,0.9876854855303131
Mistral,llmbar,BASELINE,0.4326320514689318,0.5307871536523929,0.9312169312169312,0.9734060189626954
Mistral,llmbar,ROLE,0.4277921436345532,0.5309032406525741,0.9119450610432852,0.9654088050314465
Mistral,llmbar,POSITION_NEUTRAL,0.4743320610687023,0.5718041237113402,0.9366259182736456,0.9782667134174848
Mistral,llmbar,COT,0.44281539449966983,0.5362362811312791,0.8647292425215963,0.9243902439024391
Mistral,llmbar,RUBRIC,0.42743170074758136,0.5305080459770115,0.8357238515002543,0.9067845880961766
Mistral,llmbar,SELF_REFINE,0.4385845492443981,0.5355353334414248,0.9566395663956639,0.9891015578722899
