model,dataset,prompt,base_acc,base_pos_bias,base_verb_corr,acc,pos_bias,verb_corr,d_acc,d_pos_bias,d_verb_corr
Mistral,mtbench,ROLE,0.2117,0.9071,0.217,0.1637,0.8643,0.0408,-0.048,-0.0428,-0.1762
Mistral,mtbench,POSITION_NEUTRAL,0.2117,0.9071,0.217,0.1233,0.9571,-0.0276,-0.0884,0.05,-0.2446
Mistral,mtbench,COT,0.2117,0.9071,0.217,0.3837,0.6786,0.2386,0.172,-0.2285,0.0216
Mistral,mtbench,RUBRIC,0.2117,0.9071,0.217,0.3401,0.7214,0.2175,0.1284,-0.1857,0.0005
Mistral,mtbench,SELF_REFINE,0.2117,0.9071,0.217,0.1184,0.9762,0.1065,-0.0933,0.0691,-0.1105
Mistral,llmbar,ROLE,0.4821,0.9451,0.1167,0.4789,0.9093,0.0153,-0.0032,-0.0358,-0.1014
Mistral,llmbar,POSITION_NEUTRAL,0.4821,0.9451,0.1167,0.5217,0.9499,-0.0777,0.0396,0.0048,-0.1944
Mistral,llmbar,COT,0.4821,0.9451,0.1167,0.4903,0.8974,0.0718,0.0082,-0.0477,-0.0449
Mistral,llmbar,RUBRIC,0.4821,0.9451,0.1167,0.4763,0.8401,0.1124,-0.0058,-0.105,-0.0043
Mistral,llmbar,SELF_REFINE,0.4821,0.9451,0.1167,0.4875,0.9714,0.0358,0.0054,0.0263,-0.0809
